Drug IDs	Drug Names	Drug Smiles
D00554	Ethinylestradiol	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
D00105	Estradiol	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
D00185	Estriol	C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O
D00067	Estrone	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O
D07221	Promestriene	CCCOC1=CC2=C(C=C1)[C@H]3CC[C@]4([C@H]([C@@H]3CC2)CCC4OC)C
D00898	Dienestrol	C/C=C(/C(=C/C)/C1=CC=C(C=C1)O)\C2=CC=C(C=C2)O
D00577	Diethylstilbestrol	CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O
D01639	Tibolone	C[C@@H]1CC2=C(CCC(=O)C2)[C@@H]3[C@@H]1[C@@H]4CC[C@]([C@]4(CC3)C)(C#C)O
D00962	Clomifene	CCN(CC)CCOC1=CC=C(C=C1)/C(=C(\C2=CC=CC=C2)/Cl)/C3=CC=CC=C3
D02217	Raloxifene	C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O
D03062	Bazedoxifene	CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O
D04672	Lasofoxifene	C1CCN(C1)CCOC2=CC=C(C=C2)[C@H]3[C@H](CCC4=C3C=CC(=C4)O)C5=CC=CC=C5
D08301	Ormeloxifen	CC1([C@@H]([C@H](C2=C(O1)C=C(C=C2)OC)C3=CC=C(C=C3)OCCN4CCCC4)C5=CC=CC=C5)C
D08958	Ospemifene	C1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\C3=CC=C(C=C3)OCCO)/CCCl
D07434	Polyestradiol phosphate	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
D00966	Tamoxifen	CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3
D00967	Toremifene	CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3
D01161	Fulvestrant	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
D00575	Mestranol	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC
D00948	Estropipate	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O.C1CNCCN1
D01265	Epitiostanol	CC12CCC3C(C1CCC2O)CCC4C3(CC5C(C4)S5)C
D01602 	Mepitiostane	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC4(CCCC4)OC)CC[C@@H]5[C@@]3(C[C@@H]6[C@H](C5)S6)C
D02758	Acolbifene hydrochloride	CC1=C([C@@H](OC2=C1C=CC(=C2)O)C3=CC=C(C=C3)OCCN4CCCCC4)C5=CC=C(C=C5)O.Cl
D02993 	Arzoxifene hydrochloride	COC1=CC=C(C=C1)C2=C(C3=C(S2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CCCCC5.Cl
D03911 	Droloxifene	CC/C(=C(/C1=CC=C(C=C1)OCCN(C)C)\C2=CC(=CC=C2)O)/C3=CC=CC=C3
D03912 	Droloxifene citrate	CC/C(=C(/C1=CC=C(C=C1)OCCN(C)C)\C2=CC(=CC=C2)O)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
D04041	Equilin	O=C3CC[C@H]4C/2=C/Cc1c(ccc(O)c1)[C@H]\2CC[C@]34C
D04496 	Idoxifene	Ic1ccc(cc1)\C(=C(\c2ccccc2)CC)c4ccc(OCCN3CCCC3)cc4
D05106	Nafoxidine hydrochloride	COC1=CC2=C(C=C1)C(=C(CC2)C3=CC=CC=C3)C4=CC=C(C=C4)OCCN5CCCC5.Cl
D05192	Nitromifene citrate	COC1=CC=C(C=C1)/C(=C(\C2=CC=CC=C2)/[N+](=O)[O-])/C3=CC=C(C=C3)OCCN4CCCC4.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
D06245	Trioxifene mesylate	COC1=CC=C(C=C1)C2=C(C3=CC=CC=C3CC2)C(=O)C4=CC=C(C=C4)OCCN5CCCC5
D06551	Afimoxifene	CC\C(c1ccccc1)=C(c2ccc(OCCN(C)C)cc2)/c3ccc(O)cc3
D08910	Enclomiphene	CCN(CC)CCOC1=CC=C(C=C1)/C(=C(\C2=CC=CC=C2)/Cl)/C3=CC=CC=C3
D09834	Levormeloxifene fumarate	O(c1ccc(cc1)[C@@H]3c4c(OC([C@H]3c2ccccc2)(C)C)cc(OC)cc4)CCN5CCCC5
D10008	Fispemifene	C1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\C3=CC=C(C=C3)OCCOCCO)/CCCl
