Drug IDs	Drug Names	Success	Drug Smiles
NaN	24(S),25+AC0-epoxycholesterol	1	C+AFs-C+AEA-H+AF0-(CC+AFs-C+AEA-H+AF0-1C(O1)(C)C)+AFs-C+AEA-H+AF0-2CC+AFs-C+AEAAQA-H+AF0-3+AFs-C+AEAAQABd-2(CC+AFs-C+AEA-H+AF0-4+AFs-C+AEA-H+AF0-3CC+AD0-C5+AFs-C+AEAAQABd-4(CC+AFs-C+AEAAQA-H+AF0-(C5)O)C)C
NaN	24(R),25+AC0-epoxycholesterol	1	C+AFs-C+AEA-H+AF0-(CC+AFs-C+AEAAQA-H+AF0-1C(O1)(C)C)+AFs-C+AEA-H+AF0-2CC+AFs-C+AEAAQA-H+AF0-3+AFs-C+AEAAQABd-2(CC+AFs-C+AEA-H+AF0-4+AFs-C+AEA-H+AF0-3CC+AD0-C5+AFs-C+AEAAQABd-4(CC+AFs-C+AEAAQA-H+AF0-(C5)O)C)C
NaN	22(R)+AC0-Hydroxy+AC0-24(S),25+AC0-epoxycholesterol	0	C+AFs-C+AEA-H+AF0-(CC(O)+AFs-C+AEAAQA-H+AF0-1C(O1)(C)C)+AFs-C+AEA-H+AF0-2CC+AFs-C+AEAAQA-H+AF0-3+AFs-C+AEAAQABd-2(CC+AFs-C+AEA-H+AF0-4+AFs-C+AEA-H+AF0-3CC+AD0-C5+AFs-C+AEAAQABd-4(CC+AFs-C+AEAAQA-H+AF0-(C5)O)C)C
NaN	SS(S)+AC0-Hydroxy+AC0-24(R),25+AC0-epoxycholesterol	1	C+AFs-C+AEA-H+AF0-(CC(O)+AFs-C+AEA-H+AF0-1C(O1)(C)C)+AFs-C+AEA-H+AF0-2CC+AFs-C+AEAAQA-H+AF0-3+AFs-C+AEAAQABd-2(CC+AFs-C+AEA-H+AF0-4+AFs-C+AEA-H+AF0-3CC+AD0-C5+AFs-C+AEAAQABd-4(CC+AFs-C+AEAAQA-H+AF0-(C5)O)C)C
NaN	24(S),25+AC0-iminocholesterol	1	C+AFs-C+AEA-H+AF0-(CC+AFs-C+AEA-H+AF0-1C(N1)(C)C)+AFs-C+AEA-H+AF0-2CC+AFs-C+AEAAQA-H+AF0-3+AFs-C+AEAAQABd-2(CC+AFs-C+AEA-H+AF0-4+AFs-C+AEA-H+AF0-3CC+AD0-C5+AFs-C+AEAAQABd-4(CC+AFs-C+AEAAQA-H+AF0-(C5)O)C)C
NaN	Methyl+AC0-3b+AC0-hydroxycholenate	1	+AFs-H+AF0AWw-C+AEAAQABd-12CC+AFs-C+AEA-H+AF0-(+AFs-C+AEA-H+AF0-(C)CCC(OC)+AD0-O)+AFs-C+AEAAQABd-1(C)CC+AFs-C+AEAAQABd-1(+AFs-H+AF0-)+AFs-C+AEAAQABd-2(+AFs-H+AF0-)CC+AD0-C2C+AFs-C+AEAAQA-H+AF0-(O)CC+AFs-C+AEAAXQ-12C
NaN	N,N+AC0-Dimethyl+AC0-3b+AC0-hydroxycholenamide	1	+AFs-H+AF0AWw-C+AEAAQABd-12CC+AFs-C+AEA-H+AF0-(+AFs-C+AEA-H+AF0-(C)CCC(N(C)(C))+AD0-O)+AFs-C+AEAAQABd-1(C)CC+AFs-C+AEAAQABd-1(+AFs-H+AF0-)+AFs-C+AEAAQABd-2(+AFs-H+AF0-)CC+AD0-C2C+AFs-C+AEAAQA-H+AF0-(O)CC+AFs-C+AEAAXQ-12C
NaN	24(S)+AC0-hydroxycholesterol	1	C+AFs-C+AEA-H+AF0-(CC+AFs-C+AEAAQA-H+AF0-(C(C)C)O)+AFs-C+AEA-H+AF0-1CC+AFs-C+AEAAQA-H+AF0-2+AFs-C+AEAAQABd-1(CC+AFs-C+AEA-H+AF0-3+AFs-C+AEA-H+AF0-2CC+AD0-C4+AFs-C+AEAAQABd-3(CC+AFs-C+AEAAQA-H+AF0-(C4)O)C)C
NaN	24(R)+AC0-hydroxycholesterol	1	C+AFs-C+AEA-H+AF0-(CC+AFs-C+AEA-H+AF0-(C(C)C)O)+AFs-C+AEA-H+AF0-1CC+AFs-C+AEAAQA-H+AF0-2+AFs-C+AEAAQABd-1(CC+AFs-C+AEA-H+AF0-3+AFs-C+AEA-H+AF0-2CC+AD0-C4+AFs-C+AEAAQABd-3(CC+AFs-C+AEAAQA-H+AF0-(C4)O)C)C
NaN	22(R)+AC0-hydroxycholesterol	1	C+AFs-C+AEAAQA-H+AF0-(+AFs-C+AEA-H+AF0-1CC+AFs-C+AEAAQA-H+AF0-2+AFs-C+AEAAQABd-1(CC+AFs-C+AEA-H+AF0-3+AFs-C+AEA-H+AF0-2CC+AD0-C4+AFs-C+AEAAQABd-3(CC+AFs-C+AEAAQA-H+AF0-(C4)O)C)C)+AFs-C+AEAAQA-H+AF0-(CCC(C)C)O
