Drug IDs	Drug Names	Drug Smiles
D00443	Spironolactone	CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
D01943	Potassium canrenoate	[O-]C(=O)CC[C@]3(O)CC[C@H]2[C@@H]4/C=C\C1=C\C(=O)CC[C@@]1([C@H]4CC[C@@]23C)C
D03363	Canrenone	C[C@]12CCC(=O)C=C1C=C[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]45CCC(=O)O5)C
D01115	Eplerenone	C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC
D10528	Aldosterone	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O
D03698	Desoxycortone	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C
D03792	Dicirenone	CC(C)OC(=O)[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
D03917	Drospirenone	C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7)C
D05020	Mexrenoate potassium	CC12CCC(=O)C=C1C[C@H](C3C2CCC4(C3CC[C@]4(CCC(=O)[O-])O)C)C(=O)OC
D05640	Prorenoate potassium	C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4CC[C@]5(CCC(=O)[O-])O)C
