,steroidlist_scores
0,0.17
1,0.31
2,0.19
3,0.16
4,0.21
5,0.23
6,0.27
7,0.54
8,0.51
9,0.09
10,0.16
11,0.59
12,0.05
13,0.5
14,0.21
15,0.51
16,0.22
17,0.52
18,0.59
19,0.12
20,0.58
21,0.54
22,0.37
23,0.51
24,0.57
25,0.03
26,0.41
27,0.7
28,0.51
29,0.5
30,0.58
31,0.03
32,0.12
33,0.62
34,0.48
35,0.22
36,0.56
37,0.32
38,0.48
39,0.18
40,0.09
41,0.29
42,0.31
43,0.58
44,0.52
45,0.25
46,0.24
47,0.4
48,0.42
49,0.09
50,0.54
51,0.51
52,0.4
53,0.46
54,0.01
55,0.52
56,0.32
57,0.55
58,0.53
59,0.55
60,0.18
61,0.27
62,0.57
63,0.38
64,0.57
65,0.29
66,0.38
67,0.18
68,0.29
69,0.4
70,0.08
71,0.51
72,0.48
73,0.55
74,0.63
75,0.88
76,0.18
77,0.49
78,0.36
79,0.13
80,0.19
81,0.48
82,0.12
83,0.14
84,0.26
85,0.61
86,0.55
87,0.33
88,0.22
89,0.55
90,0.52
91,0.12
92,0.61
93,0.55
94,0.3
95,0.59
96,0.5
97,0.5
98,0.59
99,0.58
100,0.05
101,0.58
102,0.0
103,0.54
104,0.07
105,0.26
106,0.59
107,0.16
108,0.47
109,0.55
110,0.61
111,0.19
112,0.58
113,0.51
114,0.0
115,0.26
116,0.35
117,0.29
118,0.34
119,0.14
120,0.59
121,0.37
122,0.03
123,0.18
124,0.2
125,0.07
126,0.47
127,0.01
128,0.07
129,0.5
130,0.33
131,0.2
132,0.2
133,0.25
134,0.55
135,0.08
136,0.55
137,0.17
138,0.61
139,0.73
140,0.38
141,0.08
142,0.52
143,0.51
144,0.43
145,0.1
146,0.95
147,0.43
148,0.18
149,0.61
150,0.1
151,0.07
152,0.5
153,0.59
154,0.02
155,0.39
156,0.5
157,0.65
158,0.62
159,0.61
160,0.41
161,0.1
162,0.26
163,0.46
164,0.47
165,0.45
166,0.63
167,0.5
168,0.37
169,0.41
170,0.57
171,0.07
172,0.48
173,0.02
174,0.5
175,0.62
176,0.31
177,0.02
178,0.57
179,0.11
180,0.06
181,0.55
182,0.5
183,0.11
184,0.13
185,0.54
186,0.52
187,0.14
188,0.56
189,0.39
190,0.13
191,0.46
192,0.4
193,0.42
194,0.49
195,0.18
196,0.05
197,0.53
198,0.02
199,0.59
200,0.52
201,0.03
202,0.43
203,0.63
204,0.57
205,0.03
206,0.57
207,0.5
208,0.02
209,0.48
210,0.47
211,0.18
212,0.09
213,0.51
214,0.79
215,0.51
216,0.24
217,0.62
218,0.17
219,0.09
220,0.25
221,0.55
222,0.58
223,0.55
224,0.18
225,0.13
226,0.55
227,0.44
228,0.06
229,0.54
230,0.25
231,0.06
232,0.48
233,0.19
234,0.16
235,0.31
236,0.56
237,0.2
238,0.51
239,0.52
240,0.6
241,0.28
242,0.53
243,0.47
244,0.19
245,0.37
246,0.16
247,0.5
248,0.5
249,0.5
250,0.57
251,0.55
252,0.77
253,0.47
254,0.29
255,0.16
256,0.36
257,0.49
258,0.58
259,0.2
260,0.13
261,0.13
262,0.08
263,0.46
264,0.34
265,0.5
266,0.58
267,0.21
268,0.27
269,0.59
270,0.31
271,0.23
272,0.52
273,0.54
274,0.11
275,0.59
276,0.52
277,0.09
278,0.14
279,0.57
280,0.55
281,0.37
282,0.12
283,0.49
284,0.5
285,0.58
286,0.53
287,0.17
288,0.08
289,0.35
290,0.27
291,0.41
292,0.59
293,0.59
294,0.2
295,0.09
296,0.34
297,0.59
298,0.51
299,0.12
300,0.08
301,0.58
302,0.43
303,0.34
304,0.52
305,0.12
306,0.54
307,0.59
308,0.24
309,0.53
310,0.56
311,0.54
312,0.5
313,0.33
314,0.24
315,0.53
316,0.6
317,0.11
318,0.9
319,0.55
320,0.32
321,0.31
322,0.53
323,0.18
324,0.59
325,0.5
326,0.21
327,0.62
328,0.47
329,0.05
330,0.29
331,0.22
332,0.58
333,0.47
334,0.42
335,0.2
336,0.59
337,0.59
338,0.56
339,0.26
340,0.22
341,0.56
342,0.13
343,0.15
344,0.15
345,0.5
346,0.08
347,0.74
348,0.59
349,0.11
350,0.53
351,0.09
352,0.5
353,0.52
354,0.49
355,0.59
356,0.44
357,0.58
358,0.51
359,0.12
360,0.51
361,0.52
362,0.3
363,0.54
364,0.48
365,0.3
366,0.59
367,0.49
368,0.43
369,0.34
370,0.85
371,0.57
372,0.17
373,0.43
374,0.23
375,0.55
376,0.07
377,0.6
378,0.5
379,0.14
380,0.12
381,0.58
382,0.59
383,0.16
384,0.49
385,0.26
386,0.59
387,0.17
388,0.6
389,0.57
390,0.02
391,0.32
392,0.52
393,0.11
394,0.57
395,0.6
396,0.54
397,0.55
398,0.09
399,0.25
400,0.19
401,0.51
402,0.25
403,0.21
404,0.11
405,0.06
406,0.19
407,0.62
408,0.58
409,0.2
410,0.49
411,0.25
412,0.52
413,0.49
414,0.54
415,0.63
416,0.12
417,0.32
418,0.59
419,0.26
420,0.04
421,0.19
422,0.56
423,0.12
424,0.22
425,0.11
426,0.52
427,0.63
428,0.06
429,0.51
430,0.07
431,0.57
432,0.0
433,0.12
434,0.52
435,0.59
436,0.49
437,0.13
438,0.37
439,0.21
440,0.56
441,0.09
442,0.53
443,0.62
444,0.61
445,0.17
446,0.25
447,0.47
448,0.32
449,0.54
450,0.85
451,0.25
452,0.53
453,0.32
454,0.55
455,0.18
456,0.52
457,0.5
458,0.43
459,0.05
460,0.24
461,0.59
462,0.38
463,0.09
464,0.26
465,0.54
466,0.55
467,0.2
468,0.15
469,0.51
470,0.5
471,0.52
472,0.03
473,0.23
474,0.52
475,0.52
476,0.11
477,0.3
478,0.51
479,0.53
480,0.16
481,0.55
482,0.23
483,0.19
484,0.51
485,0.52
486,0.53
487,0.52
488,0.08
489,0.5
490,0.4
491,0.4
492,0.33
493,0.33
494,0.63
495,0.12
496,0.47
497,0.33
498,0.34
499,0.08
500,0.18
501,0.43
502,0.28
503,0.56
504,0.07
505,0.48
506,0.07
507,0.56
508,0.22
509,0.57
510,0.55
511,0.28
512,0.26
513,0.02
514,0.25
515,0.24
516,0.5
517,0.34
518,0.3
519,0.51
520,0.59
521,0.59
522,0.36
523,0.51
524,0.09
525,0.24
526,0.51
527,0.19
528,0.58
529,0.17
530,0.57
531,0.28
532,0.56
533,0.53
534,0.7
535,0.89
536,0.21
537,0.46
538,0.54
539,0.52
540,0.59
541,0.3
542,0.09
543,0.62
544,0.55
545,0.94
546,0.55
547,0.5
548,0.22
549,0.14
550,0.59
551,0.57
552,0.47
553,0.21
554,0.12
555,0.54
556,0.53
557,0.51
558,0.23
559,0.09
560,0.18
561,0.6
562,0.16
563,0.05
564,0.25
565,0.47
566,0.5
567,0.53
568,0.23
569,0.22
570,0.23
571,0.53
572,0.57
573,0.12
574,0.58
575,0.17
576,0.14
577,0.45
578,0.5
579,0.25
580,0.03
581,0.57
582,0.46
583,0.3
584,0.31
585,0.54
586,0.46
587,0.16
588,0.07
589,0.38
590,0.5
591,0.48
592,0.17
593,0.42
594,0.41
595,0.23
596,0.07
597,0.57
598,0.4
599,0.54
600,0.21
601,0.16
602,0.46
603,0.6
604,0.35
605,0.39
606,0.2
607,0.32
608,0.16
609,0.55
610,0.62
611,0.44
612,0.34
613,0.11
614,0.13
615,0.58
616,0.34
617,0.54
618,0.12
619,0.01
620,0.23
621,0.37
622,0.29
623,0.0
624,0.51
625,0.46
626,0.13
627,0.12
628,0.18
629,0.25
630,0.25
631,0.29
632,0.54
633,0.56
634,0.41
635,0.58
636,0.49
637,0.3
638,0.5
639,0.31
640,0.6
641,0.26
642,0.2
643,0.36
644,0.56
645,0.18
646,0.56
647,0.52
648,0.19
649,0.48
650,0.2
651,0.49
652,0.59
653,0.49
654,0.58
655,0.54
656,0.55
657,0.49
658,0.15
659,0.22
660,0.24
661,0.06
662,0.11
663,0.07
664,0.22
665,0.51
666,0.4
667,0.58
668,0.32
669,0.01
670,0.47
671,0.35
672,0.47
673,0.5
674,0.46
675,0.14
676,0.11
677,0.53
678,0.55
679,0.5
680,0.48
681,0.32
682,0.5
683,0.45
684,0.17
685,0.14
686,0.52
687,0.54
688,0.49
689,0.59
690,0.09
691,0.38
692,0.6
693,0.54
694,0.49
695,0.51
696,0.2
697,0.53
698,0.57
699,0.16
700,0.54
701,0.45
702,0.47
703,0.13
704,0.56
705,0.02
706,0.6
707,0.59
708,0.81
709,0.51
710,0.05
711,0.05
